# All FUN_0066f3b0 calls in eng_second schedule-getter 0x0055f340
# 134/134 fully resolved
# call     call_va  round  day  mon  dayoff  flag  type  year      prize
   0  0x0055f3d6      ?   12    7       ?     5     1  eax       ?
   1  0x0055f3ff      1   19    7       ?     5     1  ecx       ?
   2  0x0055f429      2   26    7       ?     5     1  edx       ?
   3  0x0055f452      3   28    7       ?     ?     2  eax       ?
   4  0x0055f47c      4    2    8       ?     5     1  ecx       ?
   5  0x0055f4a6      5    9    8       ?     5     1  edx       ?
   6  0x0055f4d0      6   13    8       ?     2     2  eax       ?
   7  0x0055f4fa      7   16    8       ?     5     1  ecx       ?
   8  0x0055f524      8   23    8       ?     5     1  edx       ?
   9  0x0055f54e      9   30    8       ?     5     1  eax       ?
  10  0x0055f578     10    7    9       ?     5     1  ecx       ?
  11  0x0055f5a2     11   14    9       ?     5     1  edx       ?
  12  0x0055f5cc     12   17    9       ?     1     2  eax       ?
  13  0x0055f5f6     13   21    9       ?     5     1  ecx       ?
  14  0x0055f620     14   24    9       ?     1     2  edx       ?
  15  0x0055f64a     15   28    9       ?     5     1  eax       ?
  16  0x0055f674     16    4   10       ?     5     1  ecx       ?
  17  0x0055f69e     17   11   10       ?     5     1  edx       ?
  18  0x0055f6c8     18   18   10       ?     5     1  eax       ?
  19  0x0055f6f2     19   25   10       ?     5     1  ecx       ?
  20  0x0055f71c     20    2   11       ?     5     1  edx       ?
  21  0x0055f746     21    9   11       ?     5     1  eax       ?
  22  0x0055f770     22   16   11       ?     5     1  ecx       ?
  23  0x0055f7cf     23   20   11       ?    -1     1  edx       ?
  24  0x0055f7f9     24   27   11       ?    -1     1  eax       ?
  25  0x0055f823     25   30   11       ?    -1     2  ecx       ?
  26  0x0055f861     23   21   11       ?    -1     1  eax       ?
  27  0x0055f88b     24   26   11       ?    -1     1  ecx       ?
  28  0x0055f8b5     25   28   11       ?    -1     1  edx       ?
  29  0x0055f8f3     23   22   11       ?    -1     1  ecx       ?
  30  0x0055f91d     24   26   11       ?    -1     1  edx       ?
  31  0x0055f947     25   29   11       ?    -1     1  eax       ?
  32  0x0055f985     23   23   11       ?    -1     1  edx       ?
  33  0x0055f9af     24   26   11       ?    -1     1  eax       ?
  34  0x0055f9d9     25   30   11       ?    -1     1  ecx       ?
  35  0x0055fa17     23   21   11       ?    -1     2  eax       ?
  36  0x0055fa41     24   26   11       ?    -1     1  ecx       ?
  37  0x0055fa6b     25   31   11       ?    -1     1  edx       ?
  38  0x0055faa9     23   22   11       ?    -1     2  ecx       ?
  39  0x0055fad3     24   26   11       ?    -1     1  edx       ?
  40  0x0055fb11     23   26   11       ?    -1     1  edx       ?
  41  0x0055fb3b     24   28   11       ?    -1     2  eax       ?
  42  0x0055fb65     25    2    ?       1    -1     1  ecx       ?
  43  0x0055fb8f     26    5    ?       1    -1     2  edx       ?
  44  0x0055fc17     23   26   11       ?     5     1  ecx       ?
  45  0x0055fc40     24   28   11       ?     ?     2  edx       ?
  46  0x0055fc6a     25    2    ?       1    -1     1  eax       ?
  47  0x0055fc94     26    5    ?       1    -1     2  ecx       ?
  48  0x0055fcc1     27   13    ?       1     5     1  edx       ?
  49  0x0055fceb     28   20    ?       1     5     1  eax       ?
  50  0x0055fd16     29    3    1       1     5     1  ecx       ?
  51  0x0055fd41     30   10    1       1     5     1  edx       ?
  52  0x0055fd6c     31   17    1       1     5     1  eax       ?
  53  0x0055fd97     32   20    1       1     1     2  ecx       ?
  54  0x0055fdc2     33   24    1       1     5     1  edx       ?
  55  0x0055fded     34    3    2       1     5     1  eax       ?
  56  0x0055fe18     35    7    2       1     2     2  ecx       ?
  57  0x0055fe43     36   10    2       1     5     1  edx       ?
  58  0x0055fe6e     37   17    2       1     1     2  eax       ?
  59  0x0055fe99     38   24    2       1     5     1  ecx       ?
  60  0x0055fec4     39   31    2       1     5     1  edx       ?
  61  0x0055feef     40    7    3       1     5     1  eax       ?
  62  0x0055ff1a     41   14    3       1     5     1  ecx       ?
  63  0x0055ff44     42   16    3       1     ?     2  edx       ?
  64  0x0055ff6f     43   21    3       1     5     1  eax       ?
  65  0x0055ff9a     44   28    3       1     5     1  ecx       ?
  66  0x0055ffc5     45    6    4       1     6     1  edx       ?
  67  0x00560ee6      ?   12    7       ?     5     1  eax       ?
  68  0x00560f0f      1   19    7       ?     5     1  ecx       ?
  69  0x00560f39      2   26    7       ?     5     1  edx       ?
