      meta  ready=True hooks=8
[capture-framebuffers ON — every PRESENT will emit a ~1 MB base64 payload]
logging cm0102_GDI.exe pid=2352 for up to 15.0s (exit after 6.0s of silence). Interact with the game NOW.
   restore  from=0x14923b x=0 y=0
     panel  from=0x3222 x0=0 y0=0 x1=89 y1=599 style=1 colour=0 pattern=0
   restore  from=0x1d7bf3 x=0 y=0
     panel  from=0x1d7c42 x0=0 y0=0 x1=89 y1=599 style=1 colour=0 pattern=0
     panel  from=0x3222 x0=5 y0=10 x1=85 y1=590 style=1 colour=0 pattern=0
     panel  from=0x1d7c42 x0=5 y0=10 x1=85 y1=53 style=1061 colour=0 pattern=32736
      line  from=0x1cfdfd x0=6 y0=11 x1=84 y1=11 style=2 colour=10
      line  from=0x1cfe17 x0=6 y0=11 x1=6 y1=52 style=2 colour=10
      line  from=0x1cfe30 x0=84 y0=52 x1=7 y1=52 style=2 colour=19
      line  from=0x1cfe43 x0=84 y0=52 x1=84 y1=12 style=2 colour=19
      line  from=0x1cfdfd x0=5 y0=10 x1=85 y1=10 style=2 colour=5
      line  from=0x1cfe17 x0=5 y0=10 x1=5 y1=53 style=2 colour=5
      line  from=0x1cfe30 x0=85 y0=53 x1=6 y1=53 style=2 colour=24
      line  from=0x1cfe43 x0=85 y0=53 x1=85 y1=11 style=2 colour=24
   wrapped  from=0x1d810d x0=7 y0=12 x1=87 y1=55 style=c font=1 colour=32736 text=Version
3.9.60
     glyph  from=0x1d0a92 x=27 y=19 font=1 colour=32736 text=Version
     glyph  from=0x1d0a92 x=29 y=34 font=1 colour=32736 text=3.9.60
     panel  from=0x1d7c42 x0=5 y0=100 x1=85 y1=143 style=1021 colour=0 pattern=29596
      line  from=0x1cfdfd x0=6 y0=101 x1=84 y1=101 style=2 colour=17
      line  from=0x1cfe17 x0=6 y0=101 x1=6 y1=142 style=2 colour=17
      line  from=0x1cfe30 x0=84 y0=142 x1=7 y1=142 style=2 colour=8
      line  from=0x1cfe43 x0=84 y0=142 x1=84 y1=102 style=2 colour=8
      line  from=0x1cfdfd x0=5 y0=100 x1=85 y1=100 style=2 colour=21
      line  from=0x1cfe17 x0=5 y0=100 x1=5 y1=143 style=2 colour=21
      line  from=0x1cfe30 x0=85 y0=143 x1=6 y1=143 style=2 colour=4
      line  from=0x1cfe43 x0=85 y0=143 x1=85 y1=101 style=2 colour=4
   wrapped  from=0x1d810d x0=5 y0=100 x1=85 y1=143 style=2c font=1 colour=29596 text=Add
Manager
     glyph  from=0x1d0915 x=35 y=108 font=1 colour=19 text=Add
     glyph  from=0x1d0a92 x=34 y=107 font=1 colour=7 text=Add
     glyph  from=0x1d0915 x=22 y=123 font=1 colour=19 text=Manager
     glyph  from=0x1d0a92 x=21 y=122 font=1 colour=7 text=Manager
     panel  from=0x1d7c42 x0=5 y0=145 x1=85 y1=187 style=1021 colour=0 pattern=32736
      line  from=0x1cfdfd x0=6 y0=146 x1=84 y1=146 style=2 colour=15
      line  from=0x1cfe17 x0=6 y0=146 x1=6 y1=186 style=2 colour=15
      line  from=0x1cfe30 x0=84 y0=186 x1=7 y1=186 style=2 colour=8
      line  from=0x1cfe43 x0=84 y0=186 x1=84 y1=147 style=2 colour=8
      line  from=0x1cfdfd x0=5 y0=145 x1=85 y1=145 style=2 colour=19
      line  from=0x1cfe17 x0=5 y0=145 x1=5 y1=187 style=2 colour=19
      line  from=0x1cfe30 x0=85 y0=187 x1=6 y1=187 style=2 colour=4
      line  from=0x1cfe43 x0=85 y0=187 x1=85 y1=146 style=2 colour=4
   wrapped  from=0x1d810d x0=5 y0=145 x1=85 y1=187 style=2c font=1 colour=32736 text=Restart
Game
     glyph  from=0x1d0915 x=28 y=152 font=1 colour=18 text=Restart
     glyph  from=0x1d0a92 x=27 y=151 font=1 colour=7 text=Restart
     glyph  from=0x1d0915 x=31 y=167 font=1 colour=18 text=Game
     glyph  from=0x1d0a92 x=30 y=166 font=1 colour=7 text=Game
     panel  from=0x1d7c42 x0=5 y0=189 x1=85 y1=232 style=1021 colour=0 pattern=32736
      line  from=0x1cfdfd x0=6 y0=190 x1=84 y1=190 style=2 colour=14
      line  from=0x1cfe17 x0=6 y0=190 x1=6 y1=231 style=2 colour=14
      line  from=0x1cfe30 x0=84 y0=231 x1=7 y1=231 style=2 colour=7
      line  from=0x1cfe43 x0=84 y0=231 x1=84 y1=191 style=2 colour=7
      line  from=0x1cfdfd x0=5 y0=189 x1=85 y1=189 style=2 colour=18
      line  from=0x1cfe17 x0=5 y0=189 x1=5 y1=232 style=2 colour=18
      line  from=0x1cfe30 x0=85 y0=232 x1=6 y1=232 style=2 colour=3
      line  from=0x1cfe43 x0=85 y0=232 x1=85 y1=190 style=2 colour=3
   wrapped  from=0x1d810d x0=5 y0=189 x1=85 y1=232 style=2c font=1 colour=32736 text=Exit
Game
     glyph  from=0x1d0915 x=36 y=197 font=1 colour=16 text=Exit
     glyph  from=0x1d0a92 x=35 y=196 font=1 colour=6 text=Exit
     glyph  from=0x1d0915 x=31 y=212 font=1 colour=16 text=Game
     glyph  from=0x1d0a92 x=30 y=211 font=1 colour=6 text=Game
     panel  from=0x3222 x0=5 y0=10 x1=85 y1=590 style=1 colour=0 pattern=0
     panel  from=0x1d7c42 x0=5 y0=55 x1=44 y1=98 style=1021 colour=0 pattern=29596
      line  from=0x1cfdfd x0=6 y0=56 x1=43 y1=56 style=2 colour=18
      line  from=0x1cfe17 x0=6 y0=56 x1=6 y1=97 style=2 colour=18
      line  from=0x1cfe30 x0=43 y0=97 x1=7 y1=97 style=2 colour=9
